1,Toy Story (1995)
10,GoldenEye (1995)
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
34,Babe (1995)
47,Seven (a.k.a. Se7en) (1995)
50,"Usual Suspects, The (1995)"
110,Braveheart (1995)
150,Apollo 13 (1995)
153,Batman Forever (1995)
165,Die Hard: With a Vengeance (1995)
231,Dumb & Dumber (Dumb and Dumber) (1994)
260,Star Wars: Episode IV - A New Hope (1977)
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
296,Pulp Fiction (1994)
316,Stargate (1994)
318,"Shawshank Redemption, The (1994)"
344,Ace Ventura: Pet Detective (1994)
356,Forrest Gump (1994)
364,"Lion King, The (1994)"
367,"Mask, The (1994)"
377,Speed (1994)
380,True Lies (1994)
457,"Fugitive, The (1993)"
480,Jurassic Park (1993)
500,Mrs. Doubtfire (1993)
527,Schindler's List (1993)
541,Blade Runner (1982)
588,Aladdin (1992)
589,Terminator 2: Judgment Day (1991)
590,Dances with Wolves (1990)
592,Batman (1989)
593,"Silence of the Lambs, The (1991)"
595,Beauty and the Beast (1991)
597,Pretty Woman (1990)
608,Fargo (1996)
648,Mission: Impossible (1996)
780,Independence Day (a.k.a. ID4) (1996)
858,"Godfather, The (1972)"
1036,Die Hard (1988)
1089,Reservoir Dogs (1992)
1136,Monty Python and the Holy Grail (1975)
1193,One Flew Over the Cuckoo's Nest (1975)
1196,Star Wars: Episode V - The Empire Strikes Back (1980)
1197,"Princess Bride, The (1987)"
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
1200,Aliens (1986)
1210,Star Wars: Episode VI - Return of the Jedi (1983)
1213,Goodfellas (1990)
1214,Alien (1979)
1221,"Godfather: Part II, The (1974)"
1240,"Terminator, The (1984)"
1265,Groundhog Day (1993)
1270,Back to the Future (1985)
1291,Indiana Jones and the Last Crusade (1989)
1580,Men in Black (a.k.a. MIB) (1997)
1682,"Truman Show, The (1998)"
1704,Good Will Hunting (1997)
1721,Titanic (1997)
2028,Saving Private Ryan (1998)
2329,American History X (1998)
2571,"Matrix, The (1999)"
2628,Star Wars: Episode I - The Phantom Menace (1999)
2762,"Sixth Sense, The (1999)"
2858,American Beauty (1999)
2959,Fight Club (1999)
3578,Gladiator (2000)
3793,X-Men (2000)
4226,Memento (2000)
4306,Shrek (2001)
4886,"Monsters, Inc. (2001)"
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)"
5952,"Lord of the Rings: The Two Towers, The (2002)"
6377,Finding Nemo (2003)
6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
6874,Kill Bill: Vol. 1 (2003)
7153,"Lord of the Rings: The Return of the King, The (2003)"
7361,Eternal Sunshine of the Spotless Mind (2004)
8961,"Incredibles, The (2004)"
58559,"Dark Knight, The (2008)"
79132,Inception (2010)
